Dive Number,GF Minimum,GF Maximum,Surface Interval (min),Imperial Units,Start Battery Voltage,Start CNS %,Start Date,Start External O2 Sensor Status,Start Low Set Point,Start High Set Point,Computer Firmware Version,Max Depth,Max Time,Error History,End Battery Voltage,End CNS,End Date,End External O2 Sensor Status,End Low Set Point,End High Set Point,Computer Serial Number,Computer Firmware Version,Computer Model,Log Version,Deco Model,VPM-B Conservatism,Start Surface Pressure,End Surface Pressure,Product
607,60,80,15693,False,3.5,0,31/05/2025 11:41:04,False,0,1,93,74.2,9414,,3.4,102,31/05/2025 14:17:53,False,0,1,3818148C,93,2,14,GF,60/80,1022,1022,Perdix AI
Time (sec),Depth,First Stop Depth,Time To Surface (min),Average PPO2,Fraction O2,Fraction He,First Stop Time,Current NDL,Current Circuit Mode,Current CCR Mode,Water Temp,Gas Switch Needed,External PPO2,Set Point Type,Circuit Switch Type,External O2 Sensor 1 (mV),External O2 Sensor 2 (mV),External O2 Sensor 3 (mV),Battery Voltage,Tank 1 pressure (PSI),Tank 2 pressure (PSI),Tank 3 pressure (PSI),Tank 4 pressure (PSI),Gas Time Remaining,SAC Rate (2 minute avg),Ascent Rate,Safe Ascent Depth,CO2mbar
140,45.7,0,5,1.3,0.1,0.57,0,4,0,0,16,False,True,1,0,0,0,199,3.47,AI is off,AI is off,N/A,N/A,Not paired,AI is off,0,0,0
142,45.5,0,5,1.3,0.1,0.57,0,4,0,0,16,False,True,1,0,0,0,200,3.47,AI is off,AI is off,N/A,N/A,Not paired,AI is off,0,0,0
144,45.3,0,5,1.3,0.1,0.57,0,4,0,0,16,False,True,1,0,0,0,199,3.47,AI is off,AI is off,N/A,N/A,Not paired,AI is off,0,0,0
146,45.2,0,5,1.3,0.1,0.57,0,4,0,0,15,False,True,1,0,0,0,199,3.47,AI is off,AI is off,N/A,N/A,Not paired,AI is off,0,0,0
148,45.2,0,5,1.3,0.1,0.57,0,4,0,0,15,False,True,1,0,0,0,199,3.47,AI is off,AI is off,N/A,N/A,Not paired,AI is off,0,0,0
150,45.1,0,5,1.3,0.1,0.57,0,4,0,0,15,False,True,1,0,0,0,199,3.47,AI is off,AI is off,N/A,N/A,Not paired,AI is off,0,0,0
152,44.9,0,5,1.3,0.1,0.57,0,4,0,0,15,False,True,1,0,0,0,199,3.47,AI is off,AI is off,N/A,N/A,Not paired,AI is off,0,0,0
154,45.2,0,5,1.3,0.1,0.57,0,4,0,0,15,False,True,1,0,0,0,199,3.47,AI is off,AI is off,N/A,N/A,Not paired,AI is off,0,0,0
156,45.2,0,5,1.3,0.1,0.57,0,4,0,0,15,False,True,1,0,0,0,199,3.47,AI is off,AI is off,N/A,N/A,Not paired,AI is off,0,0,0
158,45.2,0,5,1.3,0.1,0.57,0,3,0,0,15,False,True,1,0,0,0,199,3.47,AI is off,AI is off,N/A,N/A,Not paired,AI is off,0,0,0
160,45.4,0,5,1.3,0.1,0.57,0,3,0,0,15,False,True,1,0,0,0,199,3.47,AI is off,AI is off,N/A,N/A,Not paired,AI is off,0,0,0
162,45.7,0,5,1.3,0.1,0.57,0,3,0,0,15,False,True,1,0,0,0,200,3.47,AI is off,AI is off,N/A,N/A,Not paired,AI is off,0,0,0
164,46,0,5,1.3,0.1,0.57,0,3,0,0,15,False,True,1,0,0,0,199,3.47,AI is off,AI is off,N/A,N/A,Not paired,AI is off,0,0,0
166,46.2,0,5,1.3,0.1,0.57,0,3,0,0,15,False,True,1,0,0,0,199,3.47,AI is off,AI is off,N/A,N/A,Not paired,AI is off,0,0,0
